en,nl,pos,description
" Hoofdlettergebruik en titels",,noun,"Bij titels gebruiken we alleen bij het eerste woord een hoofdletter."
activate,activeer(en),noun,"Is normaal Nederlands woord voor het werkzaam maken"
add,toevoegen,verb,
"add new",toevoegen,verb,"Het is gebruikelijk om 'add new [noun]' te vertalen naar 'Nieuwe [noun] toevoegen'."
"add to",toevoegen,verb,"In het Nederlands gebruiken we volledige werkwoordsvormen."
adjective,"bijvoeglijk naamwoord",noun,
"admin bar",toolbar,noun,
adverb,bijwoord,noun,
all,alle,adjective,
allow,toestaan,verb,"Bij vertaling van 'Allow x op deze pagina', is 'X toestaan op deze pagina' de beste vertaling.
In de context van ""This allows you to"" is ""geeft de mogelijkheid om"" gangbaar gebruik."
appearance,weergave,noun,
"approval ",toestemming,noun,"of 'goedkeuring', afhankelijk van de context."
approve,toestaan,verb,"of 'goedkeuren', afhankelijk van de context."
approved,toegestaan,verb,"of 'goedgekeurd', afhankelijk van de context."
archive,archief,noun,
archives,archief,noun,
area,ruimte/gebied,noun,"Afhankelijk van constructie. Soms is het 'gebied' zoals in: tekstgebied."
attachment,bijlage,noun,"Deze term wordt in principe altijd vertaald. Vaak in de context: ""Bijlage invoegen""."
auto-update,auto-update,noun,
Auto-updates,Auto-updates,noun,
available,beschikbaar,noun,"Wanneer er nieuwe plugins, thema's zijn, is de context: ""Er is een nieuwe versie van x beschikbaar""."
è,&#232;,interjection,
é,&#233;,interjection,
ë,&#235;,interjection,
ï,ï,interjection,
backup,back-up,noun,
block,blok,noun,
"block area",blokgebied,expression,
"block directory","block directory",expression,"Wordt niet vertaald als het gaat om vertaling van de core v.w.b. het plaatsen van blokken door ontwikkelaars. Anders wordt directory wel vertaald met ""folder"" "
"block editor",blok-editor,noun,
"block inserter",block-inserter,noun,
"block inspector",blokinfo,noun,
"block pattern",blokpatroon,noun,
"block patterns",blokpatronen,noun,
"Block plugin","Blok plugin",noun,
box,box,noun,
boxes,boxen,noun,
breadcrumbs,kruimelpad,noun,
browsing,bladeren,verb,
"Bulk Actions",Bulkacties,noun,
callback,callback,noun,"REST API specifieke vertaling."
cancel,annuleren,verb,
capability,rechten,noun,"Kan verschillend uitgelegd worden (mogelijkheden, competenties, bevoegdheden, maar in het kader van WordPress.org vertaling gekozen voor ""rechten"" "
caption,bijschrift,noun,
cart,winkelwagen,noun,"Niet verkleinen tot winkelwagentje, het symbool is winkelwagen"
checkboxes,selectievakjes,noun,
child,sub,adjective,"childtheme : subthema"
clipboard,klembord,noun,
